Date,Open,High,Low,Close,Adj Close,Volume
2019-11-25,134.660004,134.779999,133.210007,133.830002,130.991058,3612400
2019-11-26,134.289993,135.869995,133.869995,135.699997,132.821381,4947400
2019-11-27,135.699997,136.520004,135.330002,135.910004,133.026932,2476100
2019-11-29,136.059998,136.419998,135.259995,135.830002,132.948608,2978400
2019-12-02,136.649994,136.649994,134.440002,135.880005,132.997559,3866300
2019-12-03,136.660004,136.660004,134.320007,135.460007,132.586487,5000000
2019-12-04,134.949997,137.369995,134.539993,137.300003,134.387436,4228200
2019-12-05,136.190002,136.539993,135.270004,136.339996,134.382507,3351800
2019-12-06,136.669998,137.690002,136.339996,137.360001,135.387863,3216900
2019-12-09,137.149994,138.039993,137.000000,137.160004,135.190735,3882900
2019-12-10,137.610001,137.610001,136.169998,136.270004,134.313507,2940200
2019-12-11,137.050003,137.539993,136.320007,137.100006,135.131592,3339100
2019-12-12,136.800003,137.899994,136.750000,137.179993,135.210434,3502100
2019-12-13,136.929993,138.250000,136.190002,137.940002,135.959534,3557900
2019-12-16,136.949997,137.520004,136.160004,137.059998,135.092163,4701000
2019-12-17,137.050003,137.440002,135.690002,136.169998,134.214951,5491800
2019-12-18,137.050003,137.300003,135.630005,135.970001,134.017807,5370500
2019-12-19,136.220001,136.740005,135.949997,136.470001,134.510635,3641700
2019-12-20,137.410004,138.130005,135.160004,137.919998,135.939819,10311300
2019-12-23,137.690002,138.130005,136.839996,137.039993,135.072433,2992900
2019-12-24,137.089996,137.380005,136.270004,136.889999,134.924606,1220600
2019-12-26,136.860001,137.339996,136.100006,136.690002,134.727478,2934700
2019-12-27,136.880005,137.580002,136.630005,137.539993,135.565262,2554000
2019-12-30,136.699997,137.970001,136.479996,136.809998,134.845749,3024700
2019-12-31,136.690002,137.259995,136.029999,136.669998,134.707764,3229400
2020-01-02,136.869995,137.229996,135.139999,135.820007,133.869980,3784100
2020-01-03,135.460007,136.789993,135.130005,135.630005,133.682693,4000100
2020-01-06,135.300003,136.320007,135.199997,136.149994,134.195236,4085100
2020-01-07,136.000000,136.070007,133.949997,134.009995,132.085953,5718100
2020-01-08,134.460007,135.360001,134.070007,134.699997,132.766052,3681400
2020-01-09,135.289993,135.380005,134.529999,134.789993,132.854752,3954700
2020-01-10,135.169998,135.419998,134.389999,134.529999,132.598480,3099500
2020-01-13,134.649994,136.589996,134.630005,136.529999,134.569778,5127200
2020-01-14,136.179993,136.940002,135.699997,136.850006,134.885178,4159700
2020-01-15,137.039993,139.250000,136.800003,139.199997,137.201431,5002600
2020-01-16,139.350006,140.160004,138.600006,139.610001,137.605560,4977900
2020-01-17,140.100006,141.320007,139.899994,141.259995,139.231857,6908700
2020-01-21,140.610001,142.119995,140.339996,141.860001,139.823242,4440000
2020-01-22,141.809998,143.570007,141.720001,143.380005,141.321426,5366100
2020-01-23,143.089996,143.850006,142.369995,143.649994,141.587540,3915700
2020-01-24,143.830002,144.149994,142.449997,142.919998,140.868027,2791500
2020-01-27,141.649994,143.360001,141.050003,142.139999,140.099228,3895300
2020-01-28,142.130005,142.919998,141.759995,142.440002,140.394928,2908300
2020-01-29,142.000000,142.449997,141.169998,141.729996,139.695114,3263200
2020-01-30,142.320007,143.960007,141.520004,143.830002,141.764969,4058500
2020-01-31,143.809998,144.649994,141.570007,142.020004,139.980957,4753100
2020-02-03,142.770004,143.070007,141.839996,142.509995,140.463913,3977800
2020-02-04,143.199997,144.059998,142.100006,143.220001,141.163727,3494300
2020-02-05,143.679993,144.589996,143.429993,144.300003,142.228226,3504900
2020-02-06,144.639999,145.300003,144.070007,144.330002,142.257797,3571400
2020-02-07,144.259995,145.720001,143.830002,145.369995,143.282852,3138500
2020-02-10,145.929993,146.419998,145.130005,145.660004,143.568695,3775600
2020-02-11,146.210007,146.360001,144.869995,146.080002,143.982666,3870500
2020-02-12,146.679993,146.740005,145.350006,146.080002,143.982666,4217400
2020-02-13,145.250000,147.130005,143.520004,146.470001,144.367050,5041400
2020-02-14,146.570007,147.149994,145.940002,146.990005,144.879608,3555600
2020-02-18,147.110001,147.199997,145.399994,145.600006,143.509567,4938700
2020-02-19,145.619995,146.479996,145.490005,145.529999,143.440552,2978800
2020-02-20,145.770004,145.800003,143.949997,145.160004,143.075882,2805900
2020-02-21,145.059998,145.919998,144.809998,145.850006,143.755966,4271800
2020-02-24,145.860001,147.149994,142.559998,142.639999,140.592056,5027700
2020-02-25,142.589996,144.380005,140.570007,141.100006,139.074173,7585800
2020-02-26,142.440002,143.750000,141.160004,141.979996,139.941528,6157200
2020-02-27,141.410004,143.139999,136.309998,136.369995,134.412079,8603500
2020-02-28,133.240005,133.750000,128.350006,132.029999,130.134384,14170000
2020-03-02,132.000000,137.770004,131.720001,137.580002,135.604706,8504500
2020-03-03,137.190002,139.669998,134.740005,135.580002,133.633408,8728300
2020-03-04,136.190002,142.710007,136.009995,142.389999,140.345642,7635700
2020-03-05,138.809998,141.419998,136.669998,138.100006,137.036331,6579100
2020-03-06,131.559998,138.169998,131.449997,137.259995,136.202789,6754900
2020-03-09,130.179993,133.350006,128.179993,130.160004,129.157486,8716300
2020-03-10,132.050003,134.570007,126.860001,134.139999,133.106827,8258600
2020-03-11,130.580002,132.539993,127.629997,129.750000,128.750641,7465100
2020-03-12,122.099998,125.000000,113.589996,115.339996,114.451630,12808300
2020-03-13,120.680000,127.589996,115.070000,127.449997,126.468353,12007700
2020-03-16,114.690002,123.820000,112.000000,113.089996,112.218956,10733300
2020-03-17,116.699997,127.860001,116.389999,127.720001,126.736282,14242300
2020-03-18,120.839996,127.720001,113.769997,120.919998,119.988655,15250800
2020-03-19,121.430000,122.089996,116.059998,117.339996,116.436226,9393500
2020-03-20,118.239998,118.449997,101.419998,103.930000,103.129517,13093200
2020-03-23,106.000000,112.870003,102.870003,105.180000,104.369888,13926800
2020-03-24,109.930000,114.430000,109.370003,113.839996,112.963181,11447000
2020-03-25,112.739998,116.360001,111.040001,112.500000,111.633507,9485500
2020-03-26,112.709999,121.800003,112.580002,120.260002,119.333740,10376800
2020-03-27,118.570000,124.650002,117.989998,120.459999,119.532196,9852500
2020-03-30,121.610001,125.839996,121.510002,125.480003,124.513535,6916800
2020-03-31,124.940002,125.699997,119.529999,120.099998,119.174965,7091700
2020-04-01,117.269997,122.300003,115.669998,118.120003,117.210220,6873000
2020-04-02,117.220001,125.180000,116.480003,123.860001,122.906006,6181800
2020-04-03,123.190002,125.370003,122.440002,124.589996,123.630386,5552000
2020-04-06,128.660004,132.130005,125.290001,131.160004,130.149780,8242200
2020-04-07,132.710007,135.080002,130.289993,130.479996,129.475021,6253900
2020-04-08,129.639999,133.289993,129.130005,132.610001,131.588623,5241100
2020-04-09,132.089996,135.080002,131.509995,133.630005,132.600769,5502400
2020-04-13,131.690002,133.350006,129.429993,130.889999,129.881866,3785000
2020-04-14,133.220001,138.630005,132.350006,138.399994,137.334015,6278700
2020-04-15,137.139999,137.559998,133.699997,135.029999,133.989975,5773100
2020-04-16,136.970001,136.970001,133.850006,135.639999,134.595276,4564000
